 Time ; Magnitude ; Latitude ; Longitude ; Profondeur
2021-12-31T19:12:36.435947Z;1.62440981;-12.84792032;45.41202881;40.5390625
2021-12-31T04:40:13.752901Z;1.713236392;-12.82783655;45.34555705;36.11328125
2021-12-31T02:44:15.053382Z;0.5314041972;-12.84799996;45.32126095;36.0703125
2021-12-31T02:08:09.110795Z;1.782677932;-12.82147493;45.34555177;41.87109375
2021-12-31T00:10:01.067000Z;1.970822796;-12.80940563;45.64535574;41.0546875
2021-12-30T21:51:24.492024Z;2.253694774;-12.82957822;45.63080909;37.40234375
2021-12-30T21:39:56.461901Z;0.382932634;-12.80028667;45.32284637;31.12890625
2021-12-30T21:31:48.610823Z;2.218865945;-12.75151843;45.31632915;40.06640625
2021-12-30T21:07:46.774487Z;0.9505281331;-12.83631343;45.35204722;35.16796875
2021-12-30T20:59:39.564360Z;2.125473151;-12.81352611;45.34149357;28.57226562
2021-12-30T01:30:19.718598Z;1.565793671;-12.85537262;45.38123976;36.88671875
2021-12-30T00:35:40.620439Z;1.188561231;-12.80768747;45.35040214;38.21875
2021-12-30T00:29:52.313942Z;1.111800411;-12.81990343;45.32042992;27.02539062
2021-12-30T00:23:16.320000Z;1.096457845;-12.813;45.271;31.9
2021-12-29T22:58:18.530000Z;2.217725441;-12.7627;45.6517;24.04
2021-12-29T18:17:03.891168Z;1.703550037;-12.79335059;45.37712847;23.63085938
2021-12-29T11:46:44.467338Z;1.838698391;-12.81566004;45.32366812;38.06835938
2021-12-29T03:03:24.795970Z;2.691434644;-12.86244942;45.62925154;37.703125
2021-12-28T20:21:32.383825Z;2.980050722;-12.81480389;45.59188497;38.60546875
2021-12-28T19:37:39.394483Z;2.680649464;-12.63324568;45.71950431;42.515625
2021-12-28T19:17:50.945677Z;1.317770457;-12.79974508;45.33824124;33.12695312
2021-12-28T19:10:46.934640Z;1.929392193;-12.76794049;45.33335467;34.63085938
2021-12-28T05:11:55.614350Z;2.447890799;-12.79463905;45.60319279;41.140625
2021-12-28T03:20:13.852356Z;2.832794691;-12.78307458;45.54321497;43.93359375
2021-12-28T00:58:19.346561Z;1.128574078;-12.79708207;45.35363422;27.4765625
2021-12-27T08:10:11.031524Z;1.847860468;-12.81089396;45.31637175;37.83203125
2021-12-27T01:30:59.004992Z;2.02758119;-12.83804212;45.64055019;38.00390625
2021-12-27T00:44:56.280000Z;0.7646238601;-12.8512;45.2257;17.81
2021-12-26T23:18:49.762653Z;1.092124289;-12.79388295;45.3746982;32.50390625
2021-12-26T16:17:04.582068Z;1.87686984;-12.80133859;45.33419111;39.3359375
2021-12-26T06:10:32.382998Z;2.718529643;-12.82640641;45.6259408;37.6171875
2021-12-26T03:53:06.124453Z;1.654576829;-12.82563548;45.42983249;29.83984375
2021-12-26T03:32:22.142326Z;1.998608459;-12.78702549;45.33336962;38.02539062
2021-12-26T02:28:09.740000Z;1.323088506;-12.9243;45.2888;16.48
2021-12-26T00:42:07.440180Z;1.338094422;-12.85163712;45.40635977;32.91210938
2021-12-25T22:11:42.005723Z;0.8603137489;-12.82145003;45.37472418;33.53515625
2021-12-25T21:57:02.288883Z;1.13244029;-12.8426464;45.38446909;37.91796875
